transaction_id,transaction_date,transaction_time,entity,transaction_type,transaction_user,type,serviceunit,amount,balance,reconciled,period,comment
1928.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:15.357377,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1928.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:15.357377,job,acquired,mbithi,debit,cpu_hrs,5.0,99974028.6339998,yes,my2024,
1929.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:20.031679,job,acquired,mbithi,debit,cpu_hrs,5.0,99974023.6339998,yes,my2024,
1929.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:20.031679,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1930.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:24.698645,job,acquired,mbithi,debit,cpu_hrs,5.0,99974018.6339998,yes,my2024,
1930.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:24.698645,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1931.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:29.324857,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1931.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:29.324857,job,acquired,mbithi,debit,cpu_hrs,5.0,99974013.6339998,yes,my2024,
1932.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:33.879527,job,acquired,mbithi,debit,cpu_hrs,5.0,99974008.6339998,yes,my2024,
1932.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:33.879527,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1933.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:38.609732,job,acquired,mbithi,debit,cpu_hrs,5.0,99974003.6339998,yes,my2024,
1933.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:38.609732,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1934.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:43.171182,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1934.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:43.171182,job,acquired,mbithi,debit,cpu_hrs,5.0,99973998.6339998,yes,my2024,
1935.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:47.600244,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1935.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:47.600244,job,acquired,mbithi,debit,cpu_hrs,5.0,99973993.6339998,yes,my2024,
1936.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:52.322017,job,acquired,mbithi,debit,cpu_hrs,5.0,99973988.6339998,yes,my2024,
1936.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:52.322017,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1937.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:56.841915,job,acquired,mbithi,debit,cpu_hrs,5.0,99973983.6339998,yes,my2024,
1937.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:56.841915,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1938.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:01.408839,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1938.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:01.408839,job,acquired,mbithi,debit,cpu_hrs,5.0,99973978.6339998,yes,my2024,
1939.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:05.986670,job,acquired,mbithi,debit,cpu_hrs,5.0,99973973.6339998,yes,my2024,
1939.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:05.986670,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1940.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:10.584173,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1940.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:10.584173,job,acquired,mbithi,debit,cpu_hrs,5.0,99973968.6339998,yes,my2024,
1941.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:15.100324,job,acquired,mbithi,debit,cpu_hrs,5.0,99973963.6339998,yes,my2024,
1941.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:15.100324,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1942.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:50:19.648742,job,acquired,mbithi,debit,cpu_hrs,5.0,99973958.6339998,yes,my2024,
