transaction_id,transaction_date,transaction_time,entity,transaction_type,transaction_user,type,serviceunit,amount,balance,reconciled,period,comment
1104[14].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.084253,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[15].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.105373,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[15].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.105373,job,acquired,zgqi,debit,cpu_hrs,24.0,99984155.0,yes,my2024,
1104[16].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.126794,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[16].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.126794,job,acquired,zgqi,debit,cpu_hrs,24.0,99984131.0,yes,my2024,
1104[17].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.147813,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[17].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.147813,job,acquired,zgqi,debit,cpu_hrs,24.0,99984107.0,yes,my2024,
1104[18].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.168249,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[18].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.168249,job,acquired,zgqi,debit,cpu_hrs,24.0,99984083.0,yes,my2024,
1104[19].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.188800,job,acquired,zgqi,debit,cpu_hrs,24.0,99984059.0,yes,my2024,
1104[19].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.188800,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[20].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.210609,job,acquired,zgqi,debit,cpu_hrs,24.0,99984035.0,yes,my2024,
1104[20].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.210609,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[21].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.231373,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[21].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.231373,job,acquired,zgqi,debit,cpu_hrs,24.0,99984011.0,yes,my2024,
1104[22].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.252008,job,acquired,zgqi,debit,cpu_hrs,24.0,99983987.0,yes,my2024,
1104[22].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.252008,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[23].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.340236,job,acquired,zgqi,debit,cpu_hrs,24.0,99983963.0,yes,my2024,
1104[23].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.340236,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[24].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.372216,job,acquired,zgqi,debit,cpu_hrs,24.0,99983939.0,yes,my2024,
1104[24].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.372216,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[25].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.399311,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[25].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.399311,job,acquired,zgqi,debit,cpu_hrs,24.0,99983915.0,yes,my2024,
1104[26].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.422824,job,acquired,zgqi,debit,cpu_hrs,24.0,99983891.0,yes,my2024,
1104[26].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.422824,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[27].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.444389,job,acquired,zgqi,debit,cpu_hrs,24.0,99983867.0,yes,my2024,
1104[27].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.444389,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
